Company,Job,Listing Date,Location,Work Type,Teaser job,Job ID,Classification,Sub Classification,Job_URL,Classification_encoded,Cluster
,Sales,23 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Mencari Customer baru
Menjelaskan product ke Customer
Menjalin relasi yang baik dengan Customer",81248335,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81248335,15,0
,Area Manager - FS - Sulawesi & Kalimantan,18 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Homebase Location – Makassar
At Flora FG our purpose is clear: we make people healthier and happier with nutritious and delicious, natural, plant-b...",81351947,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/81351947,15,0
Arita Prima Indonesia,Sales Engineer,8 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Bergabung dengan perusahaan terkemuka, miliki peran strategis sebagai Sales Engineer, raih paket kompensasi kompetitif.",81610275,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81610275,15,0
,MARKETING,7 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Tugas dan Tanggung Jawab: Mencari dan Memperluas Jaringan Klien: 1. Mencari calon pembeli potensial melalui berbagai platform pemasaran online dan ...,81645841,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81645841,15,0
Seger Agro Nusantara,Sales Force,10 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Melakukan kunjungan rutin ke customer dan meningkatkan penjualan komoditi beras.,81557605,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81557605,15,0
AXA,FINANCIAL ADVISOR - Soppeng dan Pare Pare,29 hari yang lalu,"Pare-Pare, Sulawesi Selatan",Full time,"Financial Advisor (FA) adalah perencana keuangan nasabah. Dimana FA bertugas untuk merencanakan, dan memasarkan produk asuransi sesuai dengan...",81100360,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81100360,15,0
Nayati Indonesia,MARKETING EXECUTIVE SEGMENT HOSPITAL (MAKASSAR),10 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Handling project and product selling of kitchen equipment for Hospital Segment in Makassar & South Sulawesi.,81557102,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81557102,15,0
PT Tangguh Niaga Karya,SALES EXECUTIVES MAKASSAR,8 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"SALES EXECUTIVES DOMISILI DI MAKASSAR, KIRIM LAMARAN & CV ANDA SEKARANG JUGA !!!",81619208,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81619208,15,0
Mitra Amertha Sejahtera,Sales Executive,12 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Anda berpengalaman sebagai Sales dan sesuai dengan kualifikasi ? silahkan apply sekarang juga!,81501647,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81501647,15,0
PT Masuya Distra Sentosa,Sales Horeca / Sales Food Service Makassar,12 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Mampu untuk analisa pasar serta implementasi metode pemasaran yang komprehensif Membangun dan mempertahankan relasi baik dengan pelanggan baru...,81483258,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81483258,15,0
